Edad,Sexo,Nivel_Educativo,Estado_Civil,Sector_Economico,Inscrito_Camara_Comercio,Probabilidad_Inscripcion,Prediccion_Modelo,Riesgo_Desercion
41.0,F,PROFESIONAL,CASADO/A,MANUFACTURERO,0.0,0.002,No,ALTO
47.0,F,UNDECIMO,CASADO/A,MANUFACTURERO,0.0,0.0,No,ALTO
42.0,M,PROFESIONAL,CASADO/A,MANUFACTURERO,0.0,0.1586666666666666,No,ALTO
51.0,F,TECNICO,CASADO/A,COMERCIAL,0.0,0.05,No,ALTO
48.0,F,UNDECIMO,CASADO/A,COMERCIAL,0.0,0.0075,No,ALTO
19.0,F,TECNICO,SOLTERO/A,COMERCIAL,1.0,0.3253809523809524,No,MEDIO
54.0,F,UNDECIMO,CASADO/A,MANUFACTURERO,1.0,0.2777857142857142,No,ALTO
52.0,M,TECNICO,SOLTERO/A,MANUFACTURERO,1.0,0.66,Sí,BAJO
44.0,F,UNDECIMO,CASADO/A,COMERCIAL,1.0,0.4291666666666666,Sí,MEDIO
40.0,F,UNDECIMO,UNION LIBRE,MANUFACTURERO,1.0,0.7216666666666667,Sí,BAJO
54.0,F,TECNOLOGO,SOLTERO/A,COMERCIAL,0.0,0.0,No,ALTO
55.0,M,QUINTO,SOLTERO/A,MANUFACTURERO,0.0,0.04,No,ALTO
42.0,M,QUINTO,SOLTERO/A,SERVICIOS,1.0,0.67,Sí,BAJO
25.0,M,UNDECIMO,SOLTERO/A,COMERCIAL,1.0,0.0,No,ALTO
71.0,M,UNDECIMO,SEPARADO/A,MANUFACTURERO,0.0,0.14,No,ALTO
58.0,F,TECNICO,SEPARADO/A,SERVICIOS,0.0,0.02,No,ALTO
46.0,F,PROFESIONAL,CASADO/A,MANUFACTURERO,1.0,0.621952380952381,Sí,BAJO
43.0,F,PROFESIONAL,UNION LIBRE,MANUFACTURERO,0.0,0.06,No,ALTO
38.0,F,TECNOLOGO,CASADO/A,MANUFACTURERO,1.0,0.1175,No,ALTO
35.0,F,PROFESIONAL,CASADO/A,MANUFACTURERO,0.0,0.02,No,ALTO
52.0,F,PROFESIONAL,CASADO/A,MANUFACTURERO,1.0,0.13,No,ALTO
21.0,F,TECNOLOGO,SOLTERO/A,MANUFACTURERO,0.0,0.03,No,ALTO
41.0,M,PROFESIONAL,UNION LIBRE,COMERCIAL,0.0,0.1283333333333333,No,ALTO
56.0,F,UNDECIMO,SOLTERO/A,MANUFACTURERO,1.0,0.01,No,ALTO
60.0,M,PROFESIONAL,CASADO/A,MANUFACTURERO,1.0,0.695,Sí,BAJO
